keyword,frequency
load bank,3
4 steps,3
5 doors,3
22 windows,3
floor half,3
downspout installation,3
workout area,3
1 alterations,3
"19,000 sf",3
vanity toilet,3
install stair,3
job site,3
ada restroom,3
later date,3
engineering plan,3
backside,3
wood baseboard,3
misc finish,3
upgrade,3
perimeter sealant,3
office trailer,3
replace roof vent,3
vent system,3
fiber cement siding,3
leak,3
build walls,3
hall tenant,3
replace countertops,3
enclose drawing,3
install front porch,3
10/18/19 sda,3
south wall,3
sanitary line,3
right dormer,3
fa modification,3
mahogany railing,3
siding replacement,3
4 floors,3
chimney location,3
24 sf,3
tub surrounding,3
board plaster,3
new entry door,3
2 bath,3
mep layout,3
ma building code,3
remove rear deck,3
infrastructure work,3
install recess lights,3
new office wall,3
wood cabinet,3
loft space,3
gas generator,3
site fence,3
exist kitchenette,3
changes,3
complete demolition,3
picture window,3
interior office renovation,3
bedroom space,3
plumbing fixtures,3
hand wash,3
protection connection,3
new glass,3
repair shower,3
exist shower,3
patio space,3
2nd floorand,3
exist dimension,3
concrete floor,3
huron ave,3
demolition exterior,3
bath window,3
new door opening,3
replace demo,3
partial removal,3
building occupant,3
necessary area,3
remove floor bathroom,3
floor infill,3
4 story,3
repair chimney,3
gypsum board,3
floor remove,3
closet renovation,3
install square,3
east building,3
exist stud,3
build new steps,3
study room,3
select ceiling,3
leave,3
shed roof,3
small area,3
replace fascia boards,3
old door,3
exist exterior door,3
interior window,3
bar sink,3
ave cambridge,3
17 harvey,3
led fixture,3
new mepfp,3
spiral stair,3
floorreplace,3
install new appliances,3
3 exterior,3
upper,3
install new hardware,3
large window,3
remove front porch,3
3rd floor bedroom,3
construct dormer,3
copper valley,3
2 half,3
ceiling floor,3
framing material,3
800 sf,3
step flashing,3
room window,3
charles myer,3
replace install insulation,3
replace switches outlets,3
repair column,3
install new wood floors,3
small footprint,3
3 unit,3
interior demo permit,3
floor remodel,3
mep scope,3
brick building,3
5/8 gwb,3
common room,3
unit ac,3
hvac equip,3
build new closets,3
remove remodel,3
attic renovation,3
2 egress,3
storm window,3
2 including,3
floor residential,3
patio slider,3
remedial work,3
harvard law school,3
sheetrock install,3
remove replace same size like window,3
structual work,3
bicycle parking,3
handicap ramp,3
13'2 wide,3
structural beam,3
replace vanities,3
work involve,3
strap ceiling,3
office expansion,3
replace tower,3
kitchen floor tile,3
relocate kitchen,3
- roof,3
vinyl windows,3
wood chair,3
exist rrh,3
build partition wall,3
basement unit,3
anderson window,3
new concrete floor,3
deck level,3
update vanity,3
49 windows,3
aggregate area,3
support post,3
ceiling removal,3
install dishwasher,3
parking garage ceiling,3
exist finished basement,3
protection modification,3
rooftop deck,3
chase bank,3
rear landing,3
debris net,3
water damage repair,3
iso board,3
install new roofing,3
envelope change,3
replace heating system,3
commercial office space,3
smoke alarm,3
support wall,3
3 baths,3
general repair,3
inch iso,3
new master bath,3
co2 detector,3
1 master,3
alarm modification,3
converse labs,3
privacy wall,3
masonry building,3
apartment entry,3
living room ceiling,3
insulation install,3
majority,3
chimney rebuild,3
repair flooring,3
desk area,3
inspector,3
deck post,3
zone variance,3
replace remodel bathroom,3
second floor bedroom,3
finish surface,3
install casement windows,3
install hardwood flooring,3
remodel master bath,3
alteration level,3
exist supermarket,3
trash,3
brattle street,3
helical pile,3
co system,3
garden level,3
replace 1st floor,3
bathroom plumbing,3
lab configuration,3
replacement vinyl,3
lab layout,3
roof dunnage,3
floor repair,3
replace posts,3
2 posts,3
existing condition,3
install new,3
12 existing,3
tel data,3
rooftop hvac,3
exist fence,3
wall ceiling,3
replace concrete slab,3
marvin essential,3
selective interior renovation,3
closet floor,3
construct new stairs,3
install new tile floor,3
fiber glass,3
mg edit,3
position,3
exterior carpentry bike,3
rooftop generator,3
garage door replacement,3
misc masonry work,3
paint touch,3
remove trash shed shed,3
replace boards railings,3
15 feet,3
refinish flooring,3
mep demo,3
residential kitchen,3
new set,3
granite tread,3
new walls,3
product display,3
replace tiles,3
replace remodel,3
replace parameter sealants,3
install finishes,3
remodel 1st,3
5 harvey,3
5h floor,3
exist rooftop installation,3
select testing room,3
wall kitchen,3
exist suspend ceiling,3
strip siding,3
electric service,3
component,3
whitehead institute,3
garage insulation,3
replace skylights windows,3
copper downspout,3
minor mep work,3
light fixtures,3
new kitchen flooring,3
interior perimeter,3
lab waste,3
designate area,3
damage wall,3
basement apartment,3
replace front porches,3
exist stairway,3
repair concrete floor,3
install helical piles,3
efficient apartment,3
detach condo,3
floor removal,3
equipment installation,3
install shower stall,3
tile finish,3
davenport rd,3
partial gut,3
community center,3
11 new window,3
28 apartment unit,3
install new appliances cabinets,3
room office,3
replace garage door,3
ton rtu,3
upcoming construction,3
couple foot,3
8 antennas,3
size change,3
plaza waterproofing,3
new aluminum gutter,3
sheetrock repair,3
new gwb office,3
yard deck,3
equipment zone,3
approx,3
ash street,3
3 cambridge,3
attached plan,3
exploratory work,3
metal cap,3
cold room,3
kneewall wall,3
replace gutter,3
field office,3
insulate exterior,3
accessory dwelling,3
bedroom door,3
remove storm windows,3
envelope restoration,3
new vinyl,3
replace roof shingles,3
exist pipe,3
replace wall,3
hvac renovation,3
11 exist window,3
transition air sealing,3
install new door windows,3
exist cafe,3
system modification,3
remove concrete floor,3
story space,3
exist level,3
exist basement space,3
14 harvey,3
shut off,3
ceiling system,3
owner property,3
corridor,3
exist mep system,3
step stringer,3
landing,3
13 existing,3
replace closet doors,3
removal replacement,3
sound insulation,3
build dormer,3
exist vivarium,3
stair opening,3
wall surface,3
floor hardwood,3
czo,3
tel datum,3
install new stairs,3
good practice,3
exist single family,3
plumbing drain,3
spruce ave,3
exist interior space,3
install windows structural work,3
repair paint,3
floor bay,3
060 epdm,3
new concrete foundation,3
replace bathroom fixtures,3
inspectional service,3
exist equipment,3
2 floor,3
rear entry,3
wall removal,3
remove system,3
exist bar,3
replace kitchen tops cabinets,3
floor insulation,3
15th floor,3
small sink,3
bath area,3
half story,3
2x4 stud,3
12 harvey,3
ejector pump,3
exist basement window,3
administration building,3
antenna equipment,3
new ahu,3
ceiling modification,3
remove structural members,3
exist shaft,3
decking material,3
remove radiators,3
previous owner,3
auburn st,3
wood structure,3
swimming pool,3
replace sets,3
damage cabinet,2
taper insulation,2
1647 sq.ft,2
install timbertech,2
install landscaping,2
new penetration,2
office paint,2
wall unit,2
kitchenette space,2
epa standards,2
system footprint,2
install new bathroom kitchen,2
southwest addition,2
previously reviewed,2
ground water,2
fire,2
convenience outlet,2
deck access,2
dunkin donut,2
new facade,2
sump pit,2
mep finish,2
act grid,2
install fixture,2
parapet fence,2
bath condo,2
clock face,2
shower curb,2
foundation drainage,2
combination office,2
space w108,2
sunkin patio,2
conference rooms,2
install wall board,2
new demising,2
install anderson,2
610 sf,2
install window door,2
fasten end,2
kitchen.- insulation,2
building masonry,2
staff area,2
install slab,2
closet pole,2
hvac roof,2
rewire bathroom,2
support spaces,2
construct new staircase,2
repair framing,2
build soffits,2
steel deck,2
vacuum attachment,2
new windows roofing,2
belfry roof,2
belfry louver,2
replace story porch,2
ceiling repair,2
rewire outlet,2
west gable,2
cinder block,2
casement windows,2
level kitchen floor,2
existing stairway,2
12”roof vent,2
384 sq.ft,2
campus supply,2
wrestling area,2
replace bedroom,2
plumber access,2
layout adjustment,2
neighbor,2
exis kitchen,2
1st floor-,2
ft ceiling,2
steps railings,2
bad condition,2
parker street,2
addition doors,2
260 sf,2
steel surface,2
office separation,2
small demo,2
replace floor bathtub,2
finish removal,2
1x4 mahogany,2
sub basement,2
backyard lawn,2
propose project,2
mezzanine,2
system electric,2
install piping,2
misc door,2
bathroom work,2
existing bathroom,2
exterior ramp,2
dock slab,2
anderson glider,2
lecture halls,2
1 anderson,2
insulate roof rafter,2
close cell foam,2
blower door testing,2
pos counter,2
thermal barrier paint,2
rewire unit,2
boat house,2
oak tread,2
bb&plaster ceiling,2
replace exterior roofing siding,2
exhaust chamber,2
remove rust,2
"porch 76""x16",2
new fence,2
exercise space,2
stgructural change,2
mounted fcm,2
velux curb,2
1/2 inch,2
patch sheetrock,2
stair stringer,2
4.5 bath,2
fp systems,2
office seating,2
minor architectural work,2
closet location,2
occupant load,2
ground space,2
seconday egress,2
furniture plan,2
hvac riser,2
exist ada restroom,2
replacement -cleaning,2
"5,000 sf",2
insulate hatch,2
bathroom position,2
miscellaneous drywall patching,2
donut store,2
of:• renovation,2
new rubber roofing,2
place• renovation,2
install columns,2
floor approx,2
remove tile fixtures,2
12 antenna,2
replace bath tub,2
stall bathroom,2
surround wallsreplace,2
kitchen canbinet,2
setup staging,2
install fire alarm,2
fireproofing upgrade,2
install entry door,2
utility connection,2
entertainment area,2
building massing,2
install new cement siding,2
0.5 far,2
newcomposite decking,2
storage cabinet,2
slab,2
2nd floor suite,2
exist one,2
sub coctractor,2
new buildout,2
complete gut rehab,2
electrical wire,2
copper base,2
old bathtub,2
halal guy,2
mullion layout,2
perimeter dain,2
tv area,2
architectural demo,2
new food,2
install new railings posts,2
permit bldc-108905,2
fire protecting,2
sound seperation,2
applicant comment,2
skin coat,2
exist cool tower,2
exist slider,2
house step,2
clerestory window,2
heat pipe,2
room door,2
storefront finish,2
bathroom sheetrock,2
half bath renovation,2
100 boiler,2
walls aluminum,2
hvac rooftop,2
40 gallon,2
remoudel kitchen,2
replacewith tub,2
master dressingroom,2
box shell,2
5 single,2
12x 8demo,2
install freanch,2
bath footprint-,2
master vestibule,2
15 square,2
common meter,2
install egress window,2
interior tyenant,2
code update,2
remodel existing kitchen,2
structure beam,2
selective interior upgrade,2
exist sheet rock,2
apartment door,2
remove 3rd floor,2
2 rooms,2
recicle brick,2
install stone,2
new egress window,2
36x 36x,2
demo kitchen cabinet,2
453sf addition,2
renovate building,2
office walls,2
egress step,2
furniture pod,2
post demo,2
stamp structural plan,2
mugnier assoc,2
shreetrock wall,2
heated floor,2
rockwool fire,2
structural frame,2
bathrrom tile,2
wood patio,2
install lights,2
wood plank,2
replace install,2
structurla change,2
new dock construction,2
granite stair,2
property dumpster,2
remove partitions,2
build area height,2
vinyl double,2
masonry repairs,2
partial,2
stair dimension,2
1st floor level,2
hotel finish,2
utility,2
ligature head,2
exterior masonry wall,2
remove parapet,2
access change,2
install shower door,2
install new countertop cabinets,2
pitch roof,2
brownstone window,2
exist exterior deck,2
steel handrail,2
hall intersection,2
wyman building,2
136 richdale,2
bookstore space,2
bath hardware,2
story bedroom,2
landlord fitout,2
23 unit,2
exisitng ridge,2
25 unit,2
install outlets,2
fairmont ave,2
1 bay,2
seacond floor,2
gut plaster,2
demo interior wall,2
shower.paint wall,2
associate work,2
remove kitchen countertops cabinets,2
build renovation,2
space reconfiguration,2
house interior,2
hvac upgrades,2
bedroom suite,2
structual framing,2
cambridge city,2
city hall,2
story city,2
shower conversion,2
classroom door,2
plumbing assembly,2
chimney space,2
swing staging,2
wood step,2
library use,2
replace deck railings boards,2
heating work,2
fridge,2
install half,2
3 closet,2
coffee grinder,2
sandwich station,2
blueboard hallway,2
barry ganek,2
offices renenovation,2
masonry infill,2
support system,2
exterior masonry,2
floor lift,2
14 electrical,2
ada toilet,2
replace kitchen painting cabinets,2
basement installation,2
cut beam,2
repair repair,2
frame closet,2
softball scoreboard,2
wall wall,2
hallway bathrrom,2
unit update,2
remove ceilings walls,2
repair walkway,2
hot yoga studio,2
alarm strobe,2
paper towel,2
locker cabinet,2
autoclave room,2
replace studs,2
cement block,2
"21,500 sf",2
3 fixture,2
"bath,1/2 bath",2
build new roof,2
wet drywall,2
remove small areas,2
cash wrap,2
shower remodel,2
construction firm,2
ceiling paint,2
copper lining,2
tenant renobvation,2
raise approx,2
utility chimney,2
corner office,2
membrane,2
coffee counter,2
acousitcal panels,2
new mepfp system,2
open work space,2
soffit vents,2
annex bathroom,2
polyiso install,2
community use,2
child bathroom,2
storage location,2
tenant improvements,2
"3,153 sf",2
classroom sink,2
budget constraint,2
"17,938 sf",2
renovate kit,2
velux fs,2
remove old skylight,2
sheetrock shower,2
wallpaper foyer,2
update heating system,2
multi family,2
minor selective demolition,2
sprinkler heads,2
install new kitchen counters cabinets,2
576 sf,2
install fire,2
caffe nero,2
interior construction,2
strip wall,2
install new hardwood flooring,2
mr. breen,2
vent bath,2
oroccupant load,2
replace paint railings,2
fire alarms,2
espresso maker,2
grinder counter,2
source heat,2
demo office,2
basement conversion,2
dormer extension,2
historical commicion,2
facing street,2
wood -similar,2
kitchensfinish basement,2
new wall layout,2
exist mechanical room,2
canalside food,2
wall vinyl,2
existy fp,2
approval letter,2
structural reinforcing,2
gc supervision,2
interior flooring,2
interior refinishing,2
1500 square foot,2
gym area,2
deckextend deck,2
256 sq,2
overlay kitchen floor,2
case #,2
install new composite decking,2
lunch room,2
future space,2
family major,2
power layout,2
porch door,2
15'x11'and plaster,2
simon kim,2
interior layout change,2
basement storage unit,2
accompany plan,2
new interior plumbing,2
city watermain,2
exist rough opening,2
hammond st.,2
damage section,2
power braces,2
smart jacks,2
strip kitchen,2
218 sq.ft,2
2140 sq.ft,2
current tenant space,2
gutter maintenance,2
ik studio,2
fieldstone foundation,2
replace front floor deck,2
remove addition,2
ceiling layout,2
floor finshe,2
exist basement bathroom,2
occupancy classification,2
install bathroom fixtures plumbing,2
styrofoam plug,2
4th floor office,2
townhouse structure,2
unit townhouse,2
facade improvement,2
rinse sink,2
exterior walss,2
slate roof restoration,2
kitchenette cabinet,2
sprinkler test,2
1724 sf,2
mechanical shaft,2
dirt basement,2
demo permit*demolition,2
comstock hall,2
house thatb,2
basement demo,2
replace bedroom doors,2
hole,2
architect series,2
coffee bar,2
composit material,2
counter tops1,2
business owner,2
coffee location,2
install new master bathroom,2
1 antenna,2
ice makerc,2
code insatll,2
espresso machineb,2
coffee stationa,2
patch insulation,2
"2,122 sf",2
door restoration,2
renovate units,2
trimreplace window,2
backsplash tiling,2
house wall,2
open lab space,2
rafter,2
replace kitchen countertop cabinets,2
atio door,2
mepfp renovation,2
den,2
13 replacement,2
steel floor,2
idf closet,2
restroom,2
parking spaces,2
abatement debris.2,2
header,2
install partition wall,2
repair post,2
17 pella,2
gable dormer,2
remove sink toilet,2
occupancy change,2
steel,2
21 loomis,2
"3,846 sf",2
new glass partition,2
duck work,2
masonry repoint,2
loading door,2
rotted joist,2
renovation 1st,2
new electrical installation,2
stair assembly,2
mudroom remodeling,2
pipe repair,2
gut bath,2
misc framing,2
flash masonry,2
portal upgrades,2
half bath area,2
repair handrail,2
siteworkselective demolition,2
strip roof,2
bulkhead roof,2
selective masonry repair,2
install new rubber roofs,2
tc room,2
accessible lift,2
4 ft,2
adequate coverage,2
nfpa 13 requirement,2
basment,2
oak floor,2
13 requirements,2
12 ft,2
install equipment cabinet,2
fixture bathroom,2
house color,2
change fixture,2
floor• build,2
ada requirement,2
jossou labs,2
6foot opening,2
ne door,2
parking surface,2
parking level,2
relocation• remove,2
remove replace kitchen,2
14 windowss,2
tow area,2
lvt infill,2
entrance foyer,2
replace old deck,2
café operation,2
6x6 post,2
manufacture requirement,2
"5,243 sf",2
2x10 framing,2
replace vanity toilet,2
sealant work,2
access work,2
post deck,2
98 windrop,2
35000 psi,2
replace plywood,2
remove wood,2
zoning appeals,2
leed.windows size,2
remove top,2
1x4 pvc,2
replace decks,2
adp architecture,2
update insulation,2
ground floormeeting,2
house remodel,2
yard space,2
exercise equipment,2
sound booth,2
new panel,2
kitchenopen doorway,2
new boardroom,2
20k afci,2
spa infill,2
stair bathroom,2
18 square,2
install bookshelves,2
unit painting,2
stove location,2
spacer grid,2
toilet area,2
product lift,2
sign contract,2
studio bath,2
standard studio,2
shower bath,2
roof slate,2
finish improvement,2
dryer hookup,2
department,2
scale antenna,2
facility storage,2
gable,2
paint ceilig,2
exist penthouse,2
new patio door,2
lane way,2
reconfigure electric,2
original opening,2
penthouse thereon,2
new laundry area,2
new vanities,2
bank branch,2
dog house,2
foot spa,2
steel coating,2
roofing replacement,2
no.5 rebar,2
97 windows,2
6 inches,2
roof framing,2
replace radios antennas,2
seal duct,2
associate radio,2
construction drawing,2
5 cambridge,2
install harvey replacment windows,2
shower plumbing,2
lab improvement,2
plastic plumbing,2
remove remodeling,2
hvac dist,2
exhaust stack,2
exist bulkhead,2
remove bathrooms kitchens,2
exact layout,2
4 skylights,2
pb application,2
renovate bathrooms,2
terrace renovation,2
install new backsplash,2
limited masonry repair,2
install walls,2
gear locker,2
3rd floor finish,2
custom counter,2
paint badroom,2
flood repair,2
plumbing installation,2
1 car,2
basement excavationkitchen,2
additional footing,2
video wall,2
elevator interior,2
balcarek architects,2
wall fixture,2
replace shower fixtures,2
bathroom tub,2
bathroom demolition,2
ada entry,2
"35,000 sf",2
millwork upgrade,2
renovate condo,2
existing multipurpose,2
demo chiminey,2
kitchen cabinet replacement,2
floor renovate,2
renovation kitchen.2,2
replace single door,2
5000 sf,2
19 whitney,2
install new paint flooring,2
21 whitney,2
1st floor kitchen,2
13 harvey,2
small office,2
new tile wall,2
repair brick work,2
replace handrail,2
new tread,2
45 sqft,2
unit g4,2
canopy,2
dressing room,2
framing work,2
cosmetic upgrade,2
gypsum wall,2
kitchen renovations,2
estimate,2
exisitng bathroom,2
replace windows door,2
paint window,2
pedestrian protection,2
remove non,2
install new replacement,2
sidewalk permit,2
exist setback,2
replace millwork,2
new wall finish,2
amp circuit,2
laboratory renovations,2
new lvl,2
1 men,2
chain link,2
bs60xc003 removal,2
plumbing finishes,2
granite cobblestone,2
old stair,2
insulate door,2
toilet partitions,2
1 women,2
install new steps,2
nor'easter storm,2
remove gypsum,2
tub removal,2
remove curved,2
build wet wall,2
88 sidney street,2
memorial hall,2
closet rearrangement,2
mt. auburn,2
area change,2
limited scope,2
new cafe,2
tile grout,2
build interior,2
hardie backer,2
repair railing,2
closet stain,2
electrical finish,2
waterproof sealer,2
paint area,2
cement mud,2
new hood vent,2
heating wire,2
- top,2
office spaces,2
withnew fixtures,2
thebuffet equipment,2
new nsf,2
tobe replaced,2
hallway door,2
install finish plumbing,2
wall finishes,2
install tiles,2
auburn street,2
space layout,2
4 andersen,2
install hardwood floor,2
kitchen install,2
orbital therapeutics,2
baseboard,2
automation lab,2
balcony,2
replace egress,2
assembly space,2
replace .,2
1st unit,2
new demise wall,2
remove partial wall,2
old cabinet,2
gates tower,2
75x65 tunnel,2
gehry wall,2
construct wall,2
"approximately 31,500 sf",2
6'11 slab,2
replace slab,2
204 cambridge,2
penthouse apartment,2
pantry window,2
ma 02139-,2
joint compound,2
paint deck,2
rs glass,2
custom cabinet,2
glass package,2
sarah burks,2
remove same foot print,2
fa plan,2
epdm assembly,2
replace fan,2
cabinet size,2
master bedroom closet,2
middle room,2
room column,2
install mini,2
stove hood,2
build shower,2
shower build,2
garage structureunder,2
remove exterior vinyl siding,2
apparatus bay,2
solar array,2
saw cutting,2
- pile,2
slab drain,2
install thermadome,2
capital improvement,2
island cabinet,2
fireplace flue,2
pathologist office,2
10 feet,2
interior stair,2
cellulose insulation insulate,2
exist gwb partition,2
landscape alteration,2
new toilet partition,2
level mezz,2
install beam,2
replace bathrooms remodel,2
center exist sprinkler,2
kitchen base,2
storage basement,2
closet dimension,2
pt stringer,2
1433 sq.ft,2
men bathroom,2
gwb soffit,2
01 bookcase,2
code review,2
staircase landing,2
floor fit,2
basement height,2
new interconnect stair,2
structural scope,2
.27u value,2
porch floor,2
3272 sq.ft,2
door test,2
livingroom ceiling,2
blower door,2
gaf shingle,2
unit b1,2
weather protection,2
parapet removal,2
stop,2
room- demolition,2
floor:- replacement,2
remodeling plan,2
install plumbing fixtures,2
diameter concrete,2
surrey st,2
clap board,2
bypass door,2
flood damage,2
support roof,2
neighbor property,2
fiberglass stealh,2
wire outlet,2
area well,2
helical pier,2
michael maloney,2
replace footings,2
exist storage,2
exist open area,2
cafe,2
acm abatement,2
1 alterationthat,2
floor lav,2
exist telecom facility,2
dry system,2
2nd floor unit,2
season deck,2
bza approval,2
replace code,2
50 square,2
air curtain,2
new storage,2
2x10 joists,2
program demand,2
lag beam,2
leak investigation,2
tenant improvment,2
636 sf,2
story dormitory,2
replace vanity tub,2
receptacle coverage,2
cream shop,2
brick panel,2
line,2
reseal 90lf,2
ft reinforce,2
water damaged area,2
wind load,2
conference rm,2
exist masonry,2
exist loading dock,2
holmes hall,2
newinterior partitions,2
sprinkler drain riser,2
community event,2
food truck,2
chimney area,2
container space,2
stage area,2
community space,2
entrance way,2
hardscape improvement,2
floorcontinue partition,2
historic department,2
replace floor railings deck,2
pipe flood,2
kind furniture,2
replace re,2
replace wet drywall insulation,2
linac machine,2
millwork desk,2
cellulose wrk-47182996,2
damage portion,2
low portion,2
frontof building,2
proviode electric,2
exist floor tile,2
bathroom partition,2
house bracket,2
mason wall,2
stairs renovation,2
3 courses,2
permit case,2
repair new building fp systems,2
730 main,2
underground parking garage,2
result building height,2
interconnected parking garage,2
repair repairs,2
facgtor glass,2
door repairs,2
st. building,2
fire curtain,2
power wiring,2
bath retrofit,2
elevator door,2
build bar,2
smoke curtain,2
partial siding,2
dry wall partition,2
exterior sealant,2
limestone cladding,2
ceiling component,2
leak repair,2
1 concrete,2
replace remote radio units,2
associated cabling,2
showerpaint unit,2
level interior,2
adjacent wall,2
lavatory room,2
traffic door,2
tree post,2
basement beam,2
wall plaster,2
architectural millwork,2
dirt floor,2
bedroom aparmenet,2
remodel kicthen,2
lovestruck book,2
mdf room,2
create opening,2
water distribution,2
foundation drain,2
install wood,2
apartment interior,2
insulation,2
fire safing,2
replace heads,2
exist drain,2
safety upgrades,2
exist sink,2
3rd bathroom,2
oz copper,2
rear el,2
accessibility modifaction,2
replace interior finishes,2
install 4x,2
install demo,2
office 573c,2
28 replacement,2
address maab,2
-replace fixture,2
-reframe wall,2
1ftadd closet,2
4x units,2
convert closet,2
remove non - bearing metal stud partition walls,2
new stringer,2
36 inches,2
2x8 joist,2
master bathroomnew,2
eifs repairs,2
peabody museum,2
eave edge,2
case work,2
16 oz,2
interior finish wall,2
closet remove,2
basement partition,2
glass addition,2
hose valve,2
valve cabinet,2
3w area,2
window ac,2
closet solution,2
install new asphalt shingles,2
replace deck railings,2
stem wall,2
sorage room,2
replace window sashes,2
condensate pump,2
separate project,2
1.5 bathrooms,2
new tenant space,2
steam radiator,2
hardwood floorspaint,2
close walls,2
stud removal,2
remove gutter,2
security system,2
cfd inspection,2
pb case,2
replace kitchen sink,2
demolition renovation,2
lactation room,2
1 foot,2
asbestos report,2
daycare suite,2
1279 sf,2
demo closet,2
attached description,2
perimeter fencing,2
repair shed,2
demo scope,2
exist floor finish,2
85 fayerweather,2
87 fayerweather,2
case,2
part,2
rat activity,2
rat infestation,2
problem,2
aaron sarver,2
merging process,2
apartment remaning,2
residential building,2
replace sheet,2
wire,2
vs c04,2
chiller replacement,2
drill hole,2
install building,2
neighboring bedroom,2
install new alarm system,2
1st landing,2
install propavents,2
125 broadway,2
azek material,2
windows,2
acoustic ceiling,2
exist enclose porch,2
garage unit,2
new enclosure,2
rework ductwork,2
remove trim,2
erect staging,2
hydro air,2
new footing.10,2
recreation space,2
water level,2
new window location,2
building shell,2
remove broken concrete floor,2
replace painting,2
fire damper,2
erect wall,2
exist jacuzzi,2
reconfigure closet,2
mit museum,2
bleacher stair,2
associate finish,2
dehumidification ahu,2
fl2 area,2
following.rooftop equipment,2
entrance post,2
pvc material,2
15 radios,2
weather strip door,2
replace existing,2
position change,2
laboratory equipment,2
exit signage,2
process chiller,2
cleanroom installer,2
kitchen range,2
police deparmtent,2
water seal,2
safety rail,2
mep relocation,2
closed cap,2
department connection,2
vinyl shower,2
replace seal deck,2
highland ave,2
speaker strob,2
additional scope,2
presidential suite,2
elevator finish,2
1 marvin,2
46 sqft,2
bza-187324 approval,2
18 sqft,2
4 bathrooms,2
install layer,2
install cellulose,2
brick type,2
frame sidelight,2
tie,2
remove fixtures plumbing,2
copper sheet,2
kitchen addition,2
3/8 sheetrock,2
lesley university,2
pipe removal,2
standup shower,2
2rd floor,2
replace rails decking,2
elastomeric material,2
replace 11 windows,2
henderson residence,2
exist stairs,2
install french drain,2
epoxy anchor,2
unit size,2
rene mugnier,2
elevator bank,2
intended use,2
structural deck,2
phone call,2
privacy room,2
stata center,2
removing furniture,2
steel lintels,2
rafter tail,2
access panel,2
mep rework,2
weihua dong,2
alter roof,2
clear sealer,2
new master bedroom,2
new hardwood,2
shower bathroom,2
covered porch,2
2nd floor stair,2
footing section,2
4000psi blend,2
replace frames doors,2
ground floor entrance,2
build units,2
replace front entry door,2
430 sf,2
range location,2
project coordination,2
high roof,2
wide door,2
35 windows,2
construct new offices,2
flow,2
cambridge certificate,2
warehouse space,2
hall path,2
kitchen transition,2
counter surface,2
garden window,2
45 degree,2
new subfloor,2
gut renovaction,2
polyiso installation,2
pantry addition,2
build height building area,2
25 brattle,2
fire alarm replacement,2
guard replacement,2
house dormer,2
white 3w2h,2
majesty double,2
aluminium guttercarpentry,2
install soffit vent,2
horn strobe,2
insulation activities,2
hu bio,2
2500 sq,2
remove structural components,2
recessed light,2
reconfigure electrical,2
chase design,2
different location,2
juice bar,2
original location,2
paint condo,2
nanawall system,2
teaholic llc,2
remove bedrooms,2
cabinet facelift,2
wall installation,2
sf roof,2
prefit bevel,2
factory finish,2
track lighting,2
demo woodwork,2
hydro system,2
laboratory area,2
build bathroom,2
tenant program,2
60/40 ratio,2
low wall,2
composite trim,2
rotted fascia,2
portico repairs,2
5x15 douglas,2
historical house,2
electricianbuild wall,2
occupancy count,2
infill partitions,2
plumbing company,2
new,2
excavate basment,2
temp plumbing,2
brick pad,2
childcare center,2
argon filled,2
2 lally,2
prefinished pine,2
fiberglass mesh,2
current set,2
2x8\ installation,2
bicycle storage,2
low floor,2
replace removal,2
construction zone,2
ceiling andlighting,2
ancillary furniture,2
remove sections,2
attic open,2
half post,2
walkway,2
continuation,2
new lab layout,2
cooling tower,2
alarm room,2
wood post,2
"6,300 sf",2
build new,2
rear terraces,2
new azek,2
toequipment replacement,2
access control,2
shower remove,2
removal permit,2
remove ceilings drywalls,2
riser board,2
sprinkler layout,2
contract sum,2
mep reconfiguration,2
joist 2x12,2
install insulation board,2
pressure treatedinstallation,2
bar shelf,2
pendant light,2
main entry,2
accessory garage,2
window exterior,2
associated electrical,2
connor board,2
build new partition walls,2
buiding lobby,2
second floor kitchen,2
carpentry frame,2
bedroom skylight,2
exist cabinetry,2
mounted vss,2
roof protection,2
new copper cap,2
--bathroom remodel,2
storage system,2
cement foundation,2
piece bathroom,2
sewage damage,2
untis bathroom,2
install new concrete,2
balcony waterproofing,2
partiton wall,2
zara level,2
exhaust pipe,2
stove,2
new hood,2
dryer location,2
switch washer,2
build new partitions,2
20 feet,2
living room window,2
masonry leak,2
propoerty,2
exist canopy,2
ptd alum,2
school library,2
ada compliant,2
door control,2
upgrade lighting,2
convenience electric,2
drop celling,2
space adjustment,2
base building improvement,2
floor east,2
new sheet rock,2
remove tiles cabinets,2
mudroom window,2
nex faucet,2
repair steel,2
replace bathroom vanity,2
mechanical change,2
16 oz copper,2
cosmetics changes,2
1 inch,2
3 double,2
2.55 sq,2
02 interior,2
3 private,2
elevate collection,2
marvin one,2
leasing office,2
11639986 site,2
pipe replacement,2
unit 104/103,2
repoint basement,2
open bathroom wall,2
exist sash,2
wash station,2
veg sink,2
2x6 kd,2
150 lf,2
window assembly,2
shelf,2
exisitng kitchenette,2
stack replacement,2
exist generator,2
bar area.3,2
new laundry room,2
pipe unit,2
air sealingblow,2
elevator replacement,2
rotted siding,2
sub base,2
sample picture,2
fixture count,2
newcomposite board,2
sheetrock opening,2
sheetrock hole,2
centerline height,2
luxury finish,2
department change,2
sunroom renovation,2
lh window,2
r38 value,2
house removal,2
exist kitchen cabinetry,2
40o bedroom,2
new shed dormer,2
strip roof shingle,2
