record_number,keyword,frequency
604,spouts,1
604,masonry elevation,1
604,100,2
604,masonry joint,4
604,epdm roofing,2
604,metal flashing,4
604,roofing system,2
604,slope roofing,1
604,masonry joint,4
604,stone masonry,1
605,fire wall,6
605,block opening,2
605,block opening,2
606,remove rear window,2
606,renovate floor,1
606,interior partition wall,7
606,double door,5
606,living room,222
606,common stair,2
606,new stair,21
606,way,3
606,bath renovation,18
606,exterior work,58
606,family home,45
606,living room,222
606,floor area,14
606,bath renovation,18
608,remove house,2
608,install new window,7
608,install new ones,4
608,replace broken vinyl trims siding,1
608,exterior repair,6
608,remove garage window,1
608,broken vinyl siding,1
608,brick wall,15
608,wall section,4
609,20 replacement window,4
610,remove bathroom remodel,1
610,remove tiles,1
610,install re - wire entire condo,1
610,install new electrical panel,1
610,exist tile,11
610,exist service,5
610,demo exist kitchen,5
610,disconnect plumbing,1
612,remove current hand rail,1
612,remove code side rail,1
612,code rail,1
612,area porch,1
613,limited demolition,4
613,sprinkler branch,2
613,duct work,17
613,sprinkler branch,2
614,14 harvey,3
614,energy star glass,15
614,structural work,326
614,harvey classic,21
614,classic replacement,12
614,replacement window,270
614,structural work,326
615,2 bathrooms,47
615,1 zone,3
615,1170 sq,1
615,3rd floor remodeling,1
615,hvac system,72
615,door opening,24
615,non load,29
615,hvac system,72
615,door opening,24
615,sq .,15
615,. ft,12
616,unfinished attic area,1
618,interior demo,88
618,new tenant,37
618,interior demo,88
619,work consist,2
619,exist space,74
619,exist hvac system,4
619,exist electrical device,1
619,exist plumbing,11
619,new conference casework,1
619,misc carpentry,2
619,work consist,2
619,office space,207
619,end office,1
619,end conference,1
619,conference room,107
619,room space,6
619,fire protection,225
619,fire alarm,348
619,alarm system,34
619,misc carpentry,2
620,exterior wall,166
621,replace basement door,5
621,install new pressure,2
621,exist basement door,2
621,fieldstone brick,1
621,king stud,2
621,king stud,2
622,21k sf,7
622,21k sf,7
622,open office seating,12
622,private meeting area,6
622,cafe space,13
622,new lab area,9
622,open lab,10
622,tissue culture,23
622,glasswash room,8
622,sf fit,3
622,cafe space,13
622,tissue culture,23
623,bathroom remodel,123
623,change,120
623,structure,20
623,bathroom remodel,123
624,build soffit,7
624,replace ceiling drywall,5
624,replace hardwood floor,8
624,bath fan,19
624,mold resistant sheetrock,5
624,laundry room,47
624,dryer vent,10
624,install washer,15
624,gas dryer,12
624,exist hardwood floor,13
624,bath fan,19
624,dryer vent,10
624,install washer,15
624,gas dryer,12
625,replace windows,238
625,6 windows,33
625,4 interior,1
625,new door,98
625,interior door,32
625,new cabinet,93
625,gas stove,9
625,interior paint,5
625,new tile,58
625,exist bathtub,7
625,refinish hardwood floor,5
625,deck,32
625,house,109
625,new hardie,1
625,hardie board,1
625,board siding,1
625,gas stove,9
626,insulation work,599
626,insulation work,599
626,save program,353
627,build soffit,7
627,replace ceiling drywall,5
627,replace hardwood floor,8
627,bath fan,19
627,mold resistant sheetrock,5
627,laundry room,47
627,dryer vent,10
627,install washer,15
627,gas dryer,12
627,exist hardwood floor,13
627,bath fan,19
627,dryer vent,10
627,install washer,15
627,gas dryer,12
629,7 marvin,2
629,energy star glass,15
629,structural repair,11
629,marvin replacement,10
629,replacement window,270
630,install new door,24
630,install renovation,3
630,exist location,27
630,exist kitchen,125
630,master bath,37
630,master bath,37
631,replace post handrails,1
631,deck,32
632,3 windows,42
632,rear,35
632,home,23
632,street,13
633,replace kitchen sink washer cabinets,1
633,kitchen cabinet,188
633,appliance sink,3
633,dish washer,2
633,location fridge,2
633,wall,89
633,kitchen cabinet,188
633,location fridge,2
634,install new standing metal roof,1
634,exist asphalt roof,2
634,attic insulation,2
634,permit app,4
634,extensive site planning,1
634,basement portion,2
634,new permit,2
634,standing seam,5
634,seam metal,2
634,floor bedroom,17
634,permit app,4
634,basement portion,2
635,2nd floor,378
635,6th floor,57
635,architectural renovation,4
635,existing lab spaces,1
635,basement level,47
635,2nd floor,378
635,6th floor,57
635,250 mass ave,1
635,new design,6
635,new ceilings,2
635,paint wall,54
635,new lab casework,3
635,architectural renovation,4
635,basement level,47
635,minor mep,2
635,fp improvement,5
635,new ceilings,2
636,insulation work,599
636,insulation work,599
636,mass save,368
636,save program,353
637,scope,80
637,project,176
637,goal,2
637,large classroom,1
637,minimal level,1
637,lighting fixture,23
637,life safety device,1
637,partition,6
637,new sinkin,1
637,new door,98
637,exist classroom,6
637,hallway,10
637,childhood learningschool,1
637,lighting fixture,23
637,toilet room,19
638,2nd floor,378
638,floor bathroom,156
638,bathroom renovation,251
638,foot print,24
638,print change,2
639,insulation work,599
639,insulation work,599
639,mass save,368
639,save program,353
640,exam room,6
640,consultation room,2
640,conference room,107
640,room space,6
640,exam room,6
640,consultation room,2
641,amend permit,3
641,stair platform,2
641,amend permit,3
641,stair platform,2
642,replace epdm roof,3
642,replace pressure,1
642,replace finishes,19
642,exist epdm roof,2
642,composite material,14
642,2nd floor deck,5
642,exist deck,89
642,floor board,14
643,build demo,1
643,3rd floor,285
643,demo conference room,1
643,break room,10
643,3rd floor,285
643,new conference room,4
643,office,27
643,millwork area,2
643,new ceiling,27
643,break room,10
643,millwork area,2
643,kitchenette area,3
644,vinyl floor,21
644,selective,3
644,site work,9
644,includingpavement removal,1
644,underground utility system,1
644,site improvement,6
644,building renovation,5
644,new masonry,2
644,gypsum drywall,3
644,ceramic tile,11
644,project,176
644,boundary,1
644,drawing,8
644,exist public way,1
644,property line.4,2
644,critical facility,1
644,emergency response,2
644,city,11
644,lexington avenue,1
644,avenue fire,1
644,fire house,1
644,house renovation,4
644,story fire,1
644,on- site,1
644,site utility,3
644,site work,9
644,driving area,1
644,site improvement,6
644,building renovation,5
644,gypsum drywall,3
644,vinyl composition,1
644,composition tile,1
644,tile floor,49
644,lighting system,4
644,communication wiringsystem,1
644,wiringsystem throughout.3,1
644,property line.4,2
644,emergency response,2
645,mit utility plant,6
645,steam line,6
645,medium temperature,6
646,interior renovations,18
646,fire alarm,348
646,alarm upgrade,4
646,interior renovations,18
647,security system component,1
647,application #,3
648,install new tile,21
648,replace shower vanity head,1
648,build new portion wall,1
648,bathroom,187
648,shower head,7
648,medicine cabinet,25
648,kitchen,106
648,shower head,7
648,medicine cabinet,25
649,1 replacement,53
649,replacement window,270
649,structural work,326
649,replacement window,270
651,build media,1
651,replace panel cabinet doors,1
651,replace new kitchen faucetreplace sink,1
651,replace new laundry,1
651,replace new tile floors,1
651,replace mantle hearths pieces,1
651,replace foyer hardware powder,1
651,replace cabinetryinstall,1
651,replace screen tvs,1
651,replace install carpet,1
651,replace new hvac supply,1
651,8 bathrooms,2
651,3 media,1
651,4 area,1
651,12 new,3
651,8 recessed,1
651,4 mantle,1
651,4 existing,18
651,4 gas,1
651,3 flat,1
651,med cabinet location,1
651,new fixture,32
651,medium,1
651,banquette style seat,1
651,kitchen area,55
651,master bedroom,86
651,solid panel,1
651,red sauna,1
651,new kitchen sink,4
651,office,27
651,mantle piece,2
651,exist fireplace,5
651,exist firebox,1
651,roominstall new hardware,1
651,vanity location,1
651,kitchen area,55
651,master bedroom,86
651,mudroom arearemove,1
651,glass panel,6
651,kit style,1
651,basement storage,8
651,stone counter,3
651,surface mount,2
651,mantle piece,2
651,gas insert,2
651,house .wall,1
651,.wall paper,1
651,paper foyer,1
651,foyer powder,1
651,tv install,1
651,master wic,1
651,wic area,1
652,4th floor,96
652,exist space,74
652,4th floor,96
652,fire protection,225
653,4 inch,10
653,1458 sf,1
653,exterior wall,166
654,install bigger windows,1
654,3 windows,42
654,2 bigger,1
654,replacing**2 bedroom,2
654,opening,12
654,big window,1
654,replacing**2 bedroom,2
655,1st floor,343
655,2nd floor,378
655,half bath,75
655,1st floor,343
655,kitchen remodel,97
655,basement finish,3
655,kitchen remodel,97
655,floor bath,22
655,bath remodel,18
655,basement finish,3
656,install new wood cabinets vent bulkhead,1
656,install new double hung wood window,1
656,install new insulation framing,1
656,1B kitchen,1
656,993 memorial,1
656,3 new,31
656,390 cfm,1
656,exist upper cabinet,1
656,unit kitchen,4
656,exist kitchen window,1
656,associate trim,1
656,exterior vent,1
656,new bulkhead,1
656,building standard,2
656,new framing,24
656,paint gwb,1
656,electrical connection,2
656,new exhaust hood,1
656,charles unit,1
656,unit 1b,1
656,1b kitchen,1
656,kitchen vent,1
656,memorial drive,1
656,drive cambridge,1
656,cambridge ma,16
656,unit kitchen,4
656,wood bulkhead,1
656,hood vent,4
656,building standard,2
657,replace renovate bathroom,1
658,kitchen,106
658,bathroom,187
658,washer,9
658,unit,75
658,house,109
659,replace kitchen floor cabinets,2
659,kitchen cabinets,21
659,kitchen cabinets,21
660,remove wood rear door,1
660,wood door,12
660,steel door,7
660,steel door,7
660,steel door,7
661,new door,98
661,new flooring,79
662,structural modification,5
662,window replacement,88
662,minor change,8
662,facade,12
662,property,31
662,window replacement,88
663,insulation work,599
663,insulation work,599
663,mass save,368
663,save program,353
664,single family home,6
665,2nd floor,378
665,interior demo,88
665,building permit,61
665,sub floor,16
665,stair,24
665,exterior,37
665,structural change,561
665,interior demo,88
665,building permit,61
665,sub floor,16
666,wall insulation,45
666,wall insulation,45
667,insulation work,599
667,insulation work,599
667,mass save,368
667,save program,353
668,remove decking,8
668,remove roof porchinstall,1
668,install new azek,1
668,replace same opening size,1
668,exist decking,13
668,second floor,157
668,exist casement window,1
668,replacement window,270
668,replace kitchen window,4
668,size window,10
668,floor porchinstall,1
668,rubber roof,46
668,replacement window,270
668,size window,10
669,replace kitchen cabinets,51
670,"6""Dense pack",1
670,interior wall,55
670,live space,21
670,"6""dense pack cellulose",1
671,remove broken wood,1
671,remove height,1
671,install steel framing,1
671,install new siding,4
671,install new insulation,5
671,corner house,2
671,35 height,1
671,new steel framing,1
671,corner house,2
672,replace kitchen appliances cabinets,9
672,kitchen cabinet,188
672,kitchen cabinet,188
673,install new lvl beam,1
673,kitchen area,55
673,appropriately sized footing,1
673,floor concept,1
673,kitchen area,55
673,patrick rettig,1
673,rettig architect,1
673,architect llc,1
674,frame interior wall,2
674,bedroom,42
674,master bathroom,78
674,exist laundry machine,1
674,master bathroom,78
676,replace wall framing,1
676,replace rubber roof,15
676,exist garage,22
676,rot wall framing,1
676,exist rubber roof,2
676,new rubber roof,6
676,copper edge,4
676,clapboard siding,8
676,copper edge,4
677,interior demolition,131
678,replace rru antennas,3
678,roof,45
678,1221 cambridge street,1
678,mobile proposes,1
678,communication facility,12
679,2 alteration,13
679,3 existing,23
679,level alteration,13
679,floor finish,41
679,kitchen upgrade,5
679,new room layout,2
679,floor finish,41
679,kitchen upgrade,5
680,dense pack cellulose,30
680,exterior wall,166
681,remove verizon,1
681,remove antenna upgrade,1
681,verizon antenna,1
681,upgrade remove,1
681,css antenna,1
681,samsung antennasremove,1
681,nokia rrh,1
681,samsung rrh,1
682,build 8'addition,1
682,exist basement entrance,1
682,bathroom,187
682,age client,1
683,structural change,561
683,air sealing,782
684,install replacement windows,79
684,18 replacement,1
685,2 replacement,33
685,structural work,326
685,replacement exterior,4
685,exterior entry,2
685,entry door,113
686,renovate kitchen,106
688,change,120
688,tenant fit,40
688,bar/ restaurant,1
688,restaurant space,9
689,remove masonite,1
689,install new vinyl siding,1
690,replace safety systems,1
690,complete renovation,50
690,new window,165
690,additional exterior door,1
690,new partition,55
690,new finish,171
690,structural change,561
690,new door opening,3
690,exterior wall,166
690,childcare facility,2
690,maab/521 cmr,2
690,convent building,1
690,childcare facility,2
690,fa system,12
690,fire protection,225
690,protection connection,3
690,life safety,58
690,maab/521 cmr,2
691,replace front railing,1
691,1st floor,343
691,exist railing,13
692,structural work,326
692,replacement shower,11
693,insulation work,599
693,insulation work,599
693,mass save,368
693,save program,353
694,remove vault brick walls,1
694,concrete floor,3
694,concrete roof,1
694,bank vault,1
695,dig basement,5
695,exterior wall,166
695,door,36
695,dig basement,5
696,install window,24
696,replace trapdoor access,1
696,atwoods tavern expand,1
696,size,61
696,kitchen,106
696,single fixture restroom,1
696,outdoor diner,1
696,bar,2
696,available floor space,1
696,great distance,1
696,alleyway,2
696,takeout food,1
696,basement,92
696,set,10
696,exist restroom,14
696,hand wash,3
696,wash sink,2
697,interior commerical space,1
697,new tenant,37
697,new interior finish,12
697,new area,6
697,rework meps,2
698,5 replacement,14
698,replacement window,270
698,structural work,326
698,replacement window,270
699,build permit application,1
699,covid-19 cpsd,2
699,hand washing opportunity,1
699,entrance,18
699,plbg permit,2
699,licensed plbr,2
699,covid-19 cpsd,2
699,plbg permit,2
699,licensed plbr,2
700,ma save program,12
701,150 cpd,1
701,building,153
701,lab office,2
701,expansion,6
701,cpd floor,1
701,floor plate,3
701,tenant space,73
701,freight elevator,4
701,elevator installation,2
702,master bedroom,86
702,family brick,1
702,brick home,1
702,floor addition,20
702,master bedroom,86
702,floor porch,19
703,remove sliders replace,1
703,replace patio sliders,1
703,2 existing,55
703,exist patio slider,1
703,structural,114
704,structural change,561
704,air sealing,782
705,replace kitchen cabinets,51
705,master bedroom,86
705,layout,31
705,master bedroom,86
706,remove flooring,4
706,install new mahogony posts flooring,1
706,replace privacy handrail section,1
706,14x10 approx,1
706,new mahogony flooring,1
706,stainless steel cable,1
706,new hatch door,1
706,driveway,15
706,rear deck,25
707,complete renovation,50
707,new kitchen,122
708,3rd floor,285
708,3rd floor,285
708,floor interior,4
708,interior lab,2
708,office tenant,5
708,tenant fit,40
709,10 new,5
709,interior improvement,2
709,exist bathroom,147
709,new bathroom,108
709,structural work,326
710,install doors windows,6
710,install zone american standard silver furnace series,1
710,replace waste stack,1
710,replace trough roof,1
710,install new rubber roofing,1
710,install new asphalt roofing,1
710,22 windows,2
710,5 doors,3
710,2 zone,1
710,2.5 tons,1
710,13 seer,1
710,3rd floors,14
710,1 laundry,1
710,1 gas,1
710,1 refrigerator,1
710,entire 3rd floor,2
710,open cell,2
710,install roxul,4
710,install blue board,4
710,install kitchen cabinet,4
710,paint entire unit,5
710,tile bathroom floor,5
710,tub surround,9
710,2nd floor bathroom,16
710,hood range,1
710,kitchen sink,9
710,prep sink,5
710,laundry hookup,8
710,gas dryer,12
710,gas range,12
710,refrigerator line,2
710,master bedroom,86
710,medium room,4
710,architectural shingle,1
710,install new pre,1
710,new former,1
710,install composite soffit,1
710,new dormer,17
710,install roxul,4
710,silver series,1
710,% gas,1
710,gas furnace,2
710,kitchen sink,9
710,prep sink,5
710,laundry hookup,8
710,gas dryer,12
710,gas range,12
710,refrigerator line,2
710,master bedroom,86
710,master bathroom,78
710,medium closet,1
710,guest room,5
710,medium room,4
712,insulation weaterization,4
712,ma save program,12
712,insulation weaterization,4
713,repair water damage,12
713,dining room,113
713,exist footprint,31
713,new hardwired smoke,1
713,damage repair,2
713,repair work,13
713,dining room,113
714,selective demolition,70
714,electrical work,41
714,minor sprinkler work,2
714,minor hvac,4
715,remove wall,35
715,repair hardwood plaster floors,1
715,2 bathrooms,47
715,remodel kitchen,91
715,new cabinet,93
715,counter top,41
715,location.3,1
715,new vanity,27
715,locations.4,1
715,comedic repair,1
715,hardwood floor,36
715,counter top,41
716,remove wall,35
716,bear wall,7
716,engineer beam,1
716,dining room,113
717,aluminum wall,4
717,aluminum wall,4
717,aluminum wall,4
717,pack cellulose,35
718,repair entry door,1
720,replace exisitng skylight,1
720,leak,3
720,velux fresh,1
720,fresh air,4
720,air skylight,1
721,1 bedroom,8
721,1 bathroom,13
721,3rd floor,285
721,renovate bedroom,2
721,3rd floor,285
722,replace front stairs railings porch,1
722,ground floor,65
722,ground floor,65
723,wood floor,62
723,kitchen remodel,97
723,electrical upgrade,13
723,kitchen remodel,97
723,lighting pendant,1
724,3rd floor,285
724,exist interior finish,2
724,3rd floor,285
725,2 windows,42
725,1 door,18
725,structural change,561
726,insulation work,599
726,insulation work,599
726,mass save,368
726,save program,353
728,construct non stud low walls,1
728,construct height,1
728,metal stud,47
728,metal wall,14
728,separate worker,1
728,fire alarm,348
728,sprinkler work,55
728,metal stud,47
728,fire alarm,348
728,sprinkler work,55
729,build new upper walls,5
729,install new drywall,8
729,exist kitchen,125
729,expose ceiling joist,4
729,fire stop,8
729,junction box,20
729,exist wall,49
729,junction box,20
730,3rd floor,285
730,replace roof,18
730,replace deck,30
730,3rd floor,285
730,entrance,18
730,replace roof,18
730,replace deck,30
731,65 seats,1
731,propose wine bar,1
731,open kitchen,2
731,total seating,1
731,accessible bathroom,3
731,prep area,1
731,wine storage,2
731,wine storage,2
732,exterior cladding,5
732,interior leak,1
733,sealant removal,3
733,sealant removal,3
734,buffer wall,2
734,interior buffer,1
734,buffer wall,2
735,meeting room,15
736,build demo walls,1
736,build new rooms,1
736,8 sprinklers,1
736,4 new,30
736,1 new,37
736,exist hvac,10
736,new sprinkler,5
736,new sink,23
736,emergency eye,2
736,eye wash,3
737,blue board,44
737,paint home,1
737,home office,12
737,office approx,1
738,project,176
738,gut renovation,124
738,family structure,8
738,sprinkler system,69
738,fire alarm,348
739,exist system,9
739,hvac unit,22
739,support steel,3
739,roof,45
739,hvac upgrade,8
739,hvac unit,22
739,support steel,3
740,kitchen,106
740,bathroom remodel,123
740,new cabinets,2
740,new bathroom,108
740,new fixture,32
740,exist location,27
740,bathroom remodel,123
740,new cabinets,2
741,replace windows foundation wall,1
741,2 basement,5
741,basement window,26
741,repair foundation,12
742,emergency renovation,2
742,extensive water leak,1
742,level,21
742,emergency renovation,2
743,insulation work,599
743,insulation work,599
743,mass save,368
743,save program,353
744,remove bathtub,5
744,exist bathtub,7
744,curbless shower,3
744,glass partition,9
744,curbless shower,3
744,glass partition,9
745,8 replacement,13
745,replacement window,270
745,structural work,326
745,replacement window,270
746,replace finishes decking,7
746,replace railings,20
746,finish decking,7
747,basement remodel,12
747,bathroom,187
747,basement remodel,12
748,remove old restroom,1
748,remove single front door,1
748,install new double door,1
748,1553 sq,1
748,interior landlord,1
748,new starbuck coffee,1
748,tenant,5
748,single door,4
748,landlord work,4
748,sdewalk level,1
749,remove remodel bath kitchen,3
749,remove non - bearing wall,2
749,remodel kitchen,91
749,remodel kitchen,91
750,electrical infrastructure,1
750,life safety,58
750,child day,1
750,day care,1
750,apartment complex,1
750,partition wall,94
750,life safety,58
751,replace replacement windows,9
751,vinyl window,32
751,26 vinyl,1
751,vinyl replacement,31
752,install new bath trim kitchen,15
752,new kitchen,122
752,new trim,22
752,refinish oak floor,15
752,fire alarm,348
752,fire alarm,348
753,structural alteration,6
753,replacement entry,21
753,entry door,113
755,future fitout,1
755,new roof,42
755,shell construction,2
755,construction inclusive,1
755,base building,4
755,building mep,1
755,toilet cores,1
755,cores reading,1
756,replace rooftop hvac units,2
756,exist curb,4
757,insulation work,599
757,insulation work,599
757,mass save,368
757,save program,353
758,replace door windows,18
758,exist window,123
758,slide door,8
758,header change,3
759,exist space,74
759,second floor,157
759,bathroom,187
759,property,31
759,carriage house,20
760,exist 9th floor,1
760,18 story building,1
761,replace finishes fixtures,6
761,2nd floor,378
761,active leak,2
761,plumbing,28
761,wall,89
761,client husband,1
761,terminal stage,1
761,project,176
761,emergency,1
761,effect floor,1
761,floor bathroom,156
762,interior finish,55
762,bathroom fixture,32
762,location,79
762,bathroom fixture,32
763,structural change,561
763,air sealing,782
764,replace ea skylights,1
764,2 ea,2
764,new skylight,18
764,new pvc membrane,1
764,steel anchor,1
765,repair rear porch,3
765,exist rear porch,7
765,second stair,1
765,building,153
766,interior plaster,3
766,wood lathe,2
766,old hardwood floor,1
766,new electric,22
766,new plumbing,68
766,bathroom fixture,32
766,kitchen fixture,5
766,fireplace mantel,2
766,new door,98
766,wood lathe,2
766,new electric,22
766,bathroom fixture,32
766,kitchen fixture,5
766,fireplace mantel,2
767,insulation work,599
767,insulation work,599
767,mass save,368
767,save program,353
768,mit bldg,2
768,56 cagewash renovation,1
768,mit bldg,2
769,replace decking railing,1
769,porch,76
770,replace area kitchen,1
770,replace windows,238
770,wood floor,62
770,dining area,20
770,exist opening,73
770,change,120
770,plumbing,28
770,wood floor,62
770,dining area,20
770,wood floor,62
771,refinish basement,4
771,refinish basement,4
772,explorative demo,1
772,teh stebbins gallery,1
773,remove repairs,2
773,remove zamac pins,1
773,exterior,37
773,530 zamac pin,1
773,roof parapet,2
773,roof parapet,2
774,dense pack cellulose,30
774,air sealing,782
776,replace hardwood floors,4
776,repair paint exterior,1
776,2 1/2,6
776,1/2 baths,6
776,2 new,66
776,kitchen,106
776,exist bath,14
776,minor reconfiguring,4
776,partition wall,94
776,associate electrical,1
776,new roof,42
776,family dwelling,26
776,partition wall,94
777,replace basement slab,1
777,2 family,35
777,1st floor,343
777,3rd floor,285
777,addition,32
777,family structure,8
777,floor rear,6
777,rear deck,25
777,floor deck,29
778,replace gym hardwood floor,1
778,elec floor box,1
779,remove work tables,1
779,1 wall,5
779,2 doors,11
779,2 offices,6
779,exist work table,1
779,light fixture,49
779,patch wall,14
780,floor deck,29
780,floor deck,29
781,install bathroom,8
781,wood floor,62
781,tiled floor,2
781,space,40
781,finish basement,22
782,replace steeple louvers,1
782,exist steeple louver,1
783,10 harvey,4
783,1 thermatru,2
783,energy star glass,15
783,structural work,326
783,harvey classic,21
783,classic replacement,12
783,replacement window,270
783,thermatru entry,2
783,entry door,113
784,master bedroom,86
784,kitchen remodel,97
784,additional bathroom,10
784,master bedroom,86
784,kitchen remodel,97
785,floor,180
785,99 erie street,1
785,layout,31
785,fire alarm,348
785,sprinkler system,69
785,hvac system,72
786,13k sf,1
786,open office seating,12
786,private meeting area,6
786,cafe space,13
786,new lab area,9
786,open lab,10
786,tissue culture,23
786,glasswash room,8
786,cafe space,13
786,tissue culture,23
787,repair ceilings walls,1
788,repair roof,14
788,interior demolition,131
788,roof repair,11
788,roof repair,11
789,replace broken bricks,1
789,replace basement windows,12
789,font step,1
789,new concrete base,1
789,brick veneer,4
789,granite cap,2
789,new stone step,1
789,wall,89
789,new window,165
789,entire section,1
789,new brick,3
789,brick veneer,4
789,granite cap,2
789,fix joint,1
791,remove room bedrooms,1
791,replace paneling walls,1
791,replace fixtures tile,1
791,2 bedrooms,13
791,2nd floor,378
791,3rd floor,285
791,ceiling paneling,1
791,living room,222
791,dining room,113
791,install french door,1
791,2nd floor,378
791,3rd floor,285
791,kitchen renovation,172
791,living room,222
791,dining room,113
791,sitting room,6
791,air handler,13
791,air conditioning,14
791,kitchen renovation,172
792,window,52
792,skylight,9
792,south east elevation,1
793,architectural finish,39
794,install replacement windows,79
794,8 replacement,13
794,structural,114
795,8 foot,6
795,4 foot,2
795,pocket door,13
795,unit,75
795,kitchen,106
795,foot opening,1
795,pocket door,13
796,10 replacement window,11
796,structural work,326
798,interior demo,88
798,fire damage building,1
799,direct replacement,12
799,exterior window,11
799,structural change,561
800,install snow guards,1
800,exist copper shelf,1
800,mass ave elevation,1
800,copper snow guard,1
801,5 existing,6
801,exist office,13
801,office suite,22
801,interior selective demolition,5
801,metal stud framing,2
801,fire sprinkler,21
801,fire alarm,348
801,office suite,22
801,mep system,55
801,fire sprinkler,21
801,fire alarm,348
801,floor plan,35
802,masonry restoration,11
802,waterproofing repairs,17
802,masonry restoration,11
802,waterproofing repairs,17
803,insulation work,599
803,insulation work,599
803,mass save,368
803,save program,353
804,attach plan,81
804,exterior renovation,14
804,family dwelling,26
805,1 window,47
805,2 patio,7
805,patio door,83
805,patio door,83
806,replace -remove roof deck,1
806,3rd floor,285
806,3rd floor,285
806,new roof deck,3
806,exist deck dimension,1
807,remove stair,9
807,6th floors,3
807,exist interconnect stair,1
809,insulation work,599
809,insulation work,599
809,mass save,368
809,save program,353
810,structural change,561
810,air sealing,782
811,insulation work,599
811,insulation work,599
811,mass save,368
811,save program,353
812,install replacement,29
812,8 replacement,13
812,structural change,561
813,exist finish,81
813,architectural layout,2
813,exist seminar room,1
814,10th floor,11
814,"8,000 sf",2
814,400 technology,1
814,portion,21
814,"8,000 sf",2
814,exist facility modification,1
814,conference room,107
814,building,153
814,careful removal,2
814,adjoining space,2
814,vertical shaft,2
814,work,113
814,inthe contract documents,1
814,technology square,3
814,square cambridge,1
814,conference room,107
814,tissue culture,23
814,culture room,7
814,room open,1
814,open lan,1
815,remove kitchen cabinets,22
815,install new cabinets,13
815,install new floor bath,1
815,2nd floor,378
815,exist kitchen cabinet,32
816,"26,250 square",1
816,7th floor,36
816,5 enclosed,1
816,selective demolition,70
816,7th floor,36
816,open office area,5
816,conference room,107
816,support area,8
816,10 huddle room,1
816,core elevator,4
816,bathroom area,6
816,conference room,107
816,support area,8
816,office space,207
816,conference area,4
816,core elevator,4
816,bathroom area,6
817,air sealing,782
817,air sealing,782
818,remove hard ceiling,1
818,"2,070 ft2",1
818,5th floor,74
818,5th floor,74
818,40 landsdowne street,2
818,relocation,11
818,exist laboratory equipment,2
818,reconfiguration,12
818,related service connection,2
818,place,9
818,renovation,81
818,impact,6
818,room 5120a,1
818,life safety,58
819,install new entry door,2
819,install deck,5
819,2nd floor,378
819,2nd floor,378
819,floor rear,6
820,repair porch,17
820,replace back porch repair,1
820,replace 2”x6 center support,1
820,replace stair kicks stringers,1
820,exist stair stringer,1
820,toe kick,2
820,new pressure,4
820,toe kick,2
820,joyce hanger,1
821,interior renovate,1
823,wall insulation,45
823,wall insulation,45
825,basement renovation,36
825,frame ceiling,5
825,closed cell insulation,1
825,basement renovation,36
825,precast stair,1
825,frame ceiling,5
826,new bathroom,108
826,exist bathroom,147
826,kitchen renovation,172
826,tile work,15
826,counter,12
826,kitchen renovation,172
826,tile work,15
828,window,52
829,classrooms,1
829,furniture,2
829,finish,26
830,freezer storage,2
830,floor,180
830,freezer storage,2
831,remove kitchen cabinets,22
831,remove countertops,1
831,replace kitchen cabinet,4
831,exist fixture,10
831,location,79
832,install temp lighting,2
832,land lord improvement,1
832,sprinkler system,69
832,exist bath,14
832,sprinkler system,69
833,remove units antennas,2
833,install new units antennas,2
833,follow modification,7
833,propose modification,7
833,height,19
833,building,153
833,exiting telecommunication,1
833,telecommunication site,3
833,remote radio,12
833,radio units,5
834,remodel kitchen,91
835,owner,8
835,margo lindauer,2
835,portion,21
835,judith pemstein,2
835,space,40
835,office,27
835,work,113
835,opening,12
835,lighting,3
835,sump pump,19
835,small baseboard heater,1
835,electrical panel,12
835,new wall,68
835,josh cohen,2
835,jk contracting inc,1
835,amendment,1
835,city record,2
835,property,31
835,278 huron avenue,1
835,276 huron avenue,1
835,formal,1
835,josh cohen,2
835,margo lindauer,2
835,judith pemstein,2
835,building permit,61
835,permit application,48
835,condominium master,1
835,master deed,1
835,condo plan,1
835,city record,2
835,avenue condominium,1
835,condominium trust,1
836,replace plaster ceilings walls,1
836,install new cabinets,13
836,damage plaster wall,1
836,new bathroom,108
836,new flooring,79
836,bathroom fixture,32
837,-renovate kitchen,3
837,renovate bathroom,39
838,install new construction windows,1
838,remove siding,11
838,new design,6
838,smart architects,2
838,foam insulation,17
838,blue board,44
838,exist siding,13
838,new siding,45
838,smart architects,2
838,foam insulation,17
838,blue board,44
839,small concrete repair,1
839,urethane coating,2
839,urethane coating,2
840,replace kitchen tops cabinets,3
840,remove tile,9
840,wood floor,62
840,kitchen cabinet,188
840,counter top,41
840,install tile,27
840,wall paper,2
840,overhead lighting,1
840,debris,18
840,wood waste,2
840,everett ma,2
840,kitchen cabinet,188
840,counter top,41
840,floor arearemove,1
840,bath faninstall,1
840,sheet rock,29
840,wall paper,2
840,wood waste,2
840,everett ma,2
841,rear deck,25
841,auxiliary covid19 entrance,1
841,second floor,157
841,home,23
841,need,2
841,main area,2
842,remodel exist classroom,1
842,interior demolition,131
842,new mep,17
842,new mep,17
843,8th floor,40
843,6th floors,3
843,rooftop exhuast fan,1
843,8th floor,40
843,new ductwork,5
844,1 story,9
844,330 sf addition,1
844,ice skating,1
844,skating pavilion,1
844,ice resurfacing,1
